frame;n_blobs;blob_id;blob_classification;blob_classification_color;blob_motion_index;blob_positive_index;blob_contour_std_deviation;blob_centerX;blob_centerY;blob_speedX;blob_speedY;blob_minX;blob_minY;blob_maxX;blob_maxY;blob_area;blob_perimeter;blob_convex_hull_area;blob_convex_hull_perimeter;blob_aspect_ratio;blob_extent_ratio;blob_solidity_ratio;blob_diameter;blob_compactness;blob_major_axis_rotation;blob_minor_axis_rotation;blob_rotation
29;1;0;person;blue;9;30;56,475231102246646;270,0523047176066;149,83028751717575;-5,914732315168408;-0,5134370596022393;241;44;305;240;9657,5;480,26702547073364;10206,5;463,62252628803253;0,32653061224489793;0,769889987244898;0,9462107480527115;110,88873208437292;23,88365682159009;61,27671813964844;216,77236938476562;1,0035693645477295
30;1;0;person;blue;10;31;58,012648867749654;262,71328042944356;151,69190319899843;-7,339024288163046;1,861615681822684;226;41;301;240;10216,0;504,65180218219757;11334,5;484,79512000083923;0,3768844221105528;0,6844891122278057;0,9013189818695134;114,0500556291597;24,9288803294577;65,82669830322266;236,4312286376953;2,1341238021850586
31;1;0;person;blue;11;32;64,14211313176632;253,84259561010202;151,40917871247427;-8,870684819341534;-0,2827244865241596;215;40;293;240;10279,5;509,3797231912613;11810,5;486,8157912492752;0,39;0,6589423076923077;0,8703695863849964;114,40395928509251;25,241276559988908;66,17555236816406;251,6370086669922;3,609485149383545
32;1;0;person;blue;12;33;66,83218439441315;244,2499256352572;150,2693337357977;-9,592669974844824;-1,139844976676585;205;40;284;240;9872,5;508,0071405172348;11768,5;479,00295543670654;0,395;0,6248417721518987;0,8388919573437567;112,11626735401913;26,140415782881494;67,16963195800781;229,3891143798828;2,684753894805908
33;1;0;person;blue;13;34;66,948252837535;233,37044299122806;151,24747302847177;-10,879482644029139;0,9781392926740864;190;42;267;240;10195,0;494,45079147815704;11634,5;475,19664442539215;0,3888888888888889;0,6686999868818051;0,8762731531221797;113,93277473394117;23,980538027795582;69,55793762207031;234,56500244140625;0,45577993988990784
34;1;0;person;blue;14;35;60,61112893824652;220,35275474917523;151,3225904012595;-13,017688242052827;0,07511737278773012;180;41;259;240;10768,0;501,62236392498016;12005,0;481,6319010257721;0,3969849246231156;0,6849437058711277;0,8969596001665973;117,0907486427012;23,36784881033481;73,09821319580078;221,34487915039062;0,7737433910369873
35;1;0;person;blue;15;36;68,98878187205476;203,6936094958467;144,8076586835019;-16,659145253328546;-6,514931717757605;163;38;242;240;10657,0;504,59292685985565;12189,0;480,90469312667847;0,3910891089108911;0,6678155157287881;0,8743129050783494;116,48568078627788;23,891716415219634;76,55007934570312;203,58277893066406;179,88124084472656
36;1;0;person;blue;16;37;55,55931801665573;188,88495818716035;142,5385612934291;-14,808651308686336;-2,269097390072801;146;34;232;240;10515,5;519,6639938354492;12384,0;486,4532982110977;0,4174757281553398;0,5935594942424927;0,8491198320413437;115,70976809527623;25,68120075022679;80,98238372802734;190,89697265625;2,281308889389038
37;1;0;person;blue;17;38;63,054961503888805;174,37165304453774;140,6337837611531;-14,513305142622613;-1,9047775322760003;131;30;219;231;11345,5;528,3502858877182;13233,0;500,5866290330887;0,43781094527363185;0,6414235639981909;0,8573641653442152;120,18959711552739;24,604823462838443;82,31546020507812;219,11795043945312;178,02151489257812
38;1;0;person;blue;18;39;67,2759972008374;161,2216248802626;141,79786629214826;-13,150028164275142;1,1640825309951595;110;26;212;231;13115,5;562,0071395635605;15397,0;530,8601109981537;0,4975609756097561;0,6272357723577235;0,8518217834643113;129,22528099785285;24,082347216683722;92,17742919921875;247,66734313964844;174,72271728515625
